127.0.0.1 - - [17/Jul/2020:19:38:34 -0500] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [17/Jul/2020:19:38:38 -0500] "GET /asesoramientoSoftware/listaInforme.jsp HTTP/1.1" 200 3941
0:0:0:0:0:0:0:1 - - [17/Jul/2020:19:38:38 -0500] "GET /asesoramientoSoftware/js/jquery.dataTables.min.js HTTP/1.1" 200 82355
0:0:0:0:0:0:0:1 - - [17/Jul/2020:19:39:06 -0500] "GET /asesoramientoSoftware/listaInforme.jsp HTTP/1.1" 200 3941
0:0:0:0:0:0:0:1 - - [17/Jul/2020:19:39:07 -0500] "GET /asesoramientoSoftware/js/jquery.dataTables.min.js HTTP/1.1" 200 82355
0:0:0:0:0:0:0:1 - - [17/Jul/2020:19:39:09 -0500] "GET /asesoramientoSoftware/ServletInforme?accion=LISTAR HTTP/1.1" 200 351
0:0:0:0:0:0:0:1 - - [17/Jul/2020:19:39:49 -0500] "GET /asesoramientoSoftware/informe.jsp HTTP/1.1" 200 5527
0:0:0:0:0:0:0:1 - - [17/Jul/2020:19:39:51 -0500] "GET /asesoramientoSoftware/ServletInforme?accion=LISTAR HTTP/1.1" 200 351
0:0:0:0:0:0:0:1 - - [17/Jul/2020:19:40:00 -0500] "GET /asesoramientoSoftware/ServletInforme?accion=BUSCAR&codigo=10 HTTP/1.1" 200 6351
0:0:0:0:0:0:0:1 - - [17/Jul/2020:19:40:02 -0500] "GET /asesoramientoSoftware/ServletInforme?accion=LISTAR HTTP/1.1" 200 351
0:0:0:0:0:0:0:1 - - [17/Jul/2020:19:42:57 -0500] "GET /asesoramientoSoftware/login.jsp HTTP/1.1" 200 1978
0:0:0:0:0:0:0:1 - - [17/Jul/2020:19:42:57 -0500] "GET /asesoramientoSoftware/css/signin.css HTTP/1.1" 200 793
0:0:0:0:0:0:0:1 - - [17/Jul/2020:19:43:02 -0500] "POST /asesoramientoSoftware/ServletUsuario?accion=INICIAR HTTP/1.1" 200 1648
0:0:0:0:0:0:0:1 - - [17/Jul/2020:19:43:06 -0500] "GET /asesoramientoSoftware/listaInforme.jsp HTTP/1.1" 200 4079
0:0:0:0:0:0:0:1 - - [17/Jul/2020:19:43:07 -0500] "GET /asesoramientoSoftware/ServletInforme?accion=LISTAR HTTP/1.1" 200 351
0:0:0:0:0:0:0:1 - - [17/Jul/2020:19:43:09 -0500] "GET /asesoramientoSoftware/ServletInforme?accion=BUSCAR&codigo=10 HTTP/1.1" 200 6351
0:0:0:0:0:0:0:1 - - [17/Jul/2020:19:43:26 -0500] "GET /asesoramientoSoftware/ServletInforme?accion=LISTAR HTTP/1.1" 200 351
0:0:0:0:0:0:0:1 - - [17/Jul/2020:19:43:27 -0500] "GET /asesoramientoSoftware/ServletInforme?accion=BUSCAR&codigo=11 HTTP/1.1" 200 6397
0:0:0:0:0:0:0:1 - - [17/Jul/2020:19:43:33 -0500] "GET /asesoramientoSoftware/ServletInforme?accion=LISTAR HTTP/1.1" 200 351
0:0:0:0:0:0:0:1 - - [17/Jul/2020:19:46:12 -0500] "GET /asesoramientoSoftware/listaInforme.jsp HTTP/1.1" 200 4079
0:0:0:0:0:0:0:1 - - [17/Jul/2020:19:46:12 -0500] "GET /asesoramientoSoftware/js/jquery.dataTables.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jul/2020:19:46:12 -0500] "GET /asesoramientoSoftware/ServletInforme?accion=LISTAR HTTP/1.1" 200 351
0:0:0:0:0:0:0:1 - - [17/Jul/2020:19:46:26 -0500] "GET /asesoramientoSoftware/ServletInforme?accion=BUSCAR&codigo=11 HTTP/1.1" 200 6397
0:0:0:0:0:0:0:1 - - [17/Jul/2020:19:47:54 -0500] "GET /asesoramientoSoftware/login.jsp HTTP/1.1" 200 1978
0:0:0:0:0:0:0:1 - - [17/Jul/2020:19:48:00 -0500] "POST /asesoramientoSoftware/ServletUsuario?accion=INICIAR HTTP/1.1" 200 1649
